fight_id,date,name,round,title,method,sig_attempts,sig_strikes,strike_attempts,strikes,td_attempts,takedowns,sub_attempts,pass,reversals,head_attempts,head,body_attempts,body,leg_attempts,leg,distance_attempts,distance,clinch_attempts,clinch,ground_attempts,ground,win/loss
4008,1994,Scott Morris,1,no,Submission,1,1,2,2,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,W
3988,1994,Harold Howard,1,yes,KO/TKO,6,2,7,3,0,0,1,0,0,6,2,0,0,0,0,4,1,1,1,1,0,L
3988,1994,Steve Jennum,1,yes,KO/TKO,11,6,13,7,1,1,0,3,0,11,6,0,0,0,0,2,1,0,0,9,5,W
3989,1994,Felix Lee Mitchell,1,no,Submission,3,3,22,21,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,L
3989,1994,Ken Shamrock,1,no,Submission,4,4,7,7,2,1,1,3,0,1,1,2,2,1,1,0,0,3,3,1,1,W
3990,1994,Kimo Leopoldo,1,no,Submission,9,6,10,6,1,1,0,2,1,6,3,2,2,1,1,1,0,3,3,5,3,L
3990,1994,Royce Gracie,1,no,Submission,6,2,21,17,2,0,1,1,1,1,1,2,0,3,1,0,0,6,2,0,0,W
3991,1994,Roland Payne,1,no,KO/TKO,4,3,4,3,2,1,0,1,0,0,0,2,2,2,1,2,2,2,1,0,0,L
3991,1994,Harold Howard,1,no,KO/TKO,12,9,15,12,1,0,0,0,0,12,9,0,0,0,0,4,1,4,4,4,4,W
3992,1994,Christophe Leninger,1,no,KO/TKO,2,1,23,21,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,L
3992,1994,Ken Shamrock,1,no,KO/TKO,9,8,20,16,1,1,0,1,0,6,5,3,3,0,0,1,0,0,0,8,8,W
3993,1994,Emmanuel Yarborough,1,no,KO/TKO,5,1,9,4,1,0,0,0,0,5,1,0,0,0,0,2,0,0,0,3,1,L
3993,1994,Keith Hackney,1,no,KO/TKO,50,34,52,36,0,0,0,0,0,45,29,0,0,5,5,8,6,3,2,39,26,W
3978,1994,Dan Severn,1,yes,Submission,7,4,43,27,1,1,0,0,0,7,4,0,0,0,0,0,0,0,0,7,4,L
3978,1994,Royce Gracie,1,yes,Submission,4,0,84,80,0,0,3,0,0,1,0,0,0,3,0,4,0,0,0,0,0,W
3979,1994,Marcus Bossett,1,no,Submission,2,1,3,2,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,L
3979,1994,Dan Severn,1,no,Submission,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,W
3980,1994,Keith Hackney,1,no,Submission,13,4,16,7,0,0,0,0,0,12,3,1,1,0,0,3,1,4,2,6,1,L
3980,1994,Royce Gracie,1,no,Submission,23,11,58,45,2,0,3,0,0,15,7,5,3,3,1,10,2,13,9,0,0,W
3981,1994,Anthony Macias,1,no,Submission,9,8,14,12,0,0,0,0,0,4,4,2,2,3,2,3,2,3,3,3,3,L
3981,1994,Dan Severn,1,no,Submission,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,W
3982,1994,Melton Bowen,1,no,Submission,4,1,59,48,0,0,0,0,0,4,1,0,0,0,0,3,0,1,1,0,0,L
3982,1994,Steve Jennum,1,no,Submission,40,13,70,29,3,2,1,2,0,36,13,2,0,2,0,6,0,0,0,34,13,W
3983,1994,Joe Son,1,no,Submission,0,0,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3983,1994,Keith Hackney,1,no,Submission,14,8,16,10,0,0,1,1,0,5,1,1,0,8,7,7,2,0,0,7,6,W
3984,1994,Ron van Clief,1,no,Submission,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,L
3984,1994,Royce Gracie,1,no,Submission,11,7,31,27,1,1,1,3,0,8,5,3,2,0,0,1,0,0,0,10,7,W
3985,1994,Jason Fairn,1,no,KO/TKO,12,9,15,12,0,0,0,0,0,8,5,2,2,2,2,4,1,4,4,4,4,L
3985,1994,Guy Mezger,1,no,KO/TKO,30,19,34,23,1,1,0,2,0,28,17,1,1,1,1,1,0,5,4,24,15,W
3967,1995,Dave Beneteau,1,yes,Submission,6,2,10,5,0,0,0,0,0,6,2,0,0,0,0,1,0,5,2,0,0,L
3967,1995,Dan Severn,1,yes,Submission,3,2,13,11,1,1,1,1,0,1,1,1,0,1,1,0,0,2,1,1,1,W
3969,1995,Ken Shamrock,2,no,Other,22,10,123,98,1,1,0,0,0,17,5,0,0,5,5,3,1,0,0,19,9,D
3969,1995,Royce Gracie,2,no,Other,12,3,366,355,1,0,0,0,0,5,2,2,0,5,1,9,1,0,0,3,2,D
3970,1995,Oleg Taktarov,1,no,TKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3970,1995,Dan Severn,1,no,TKO,17,9,64,38,1,1,0,1,0,17,9,0,0,0,0,0,0,0,0,17,9,W
3971,1995,Todd Medina,1,no,KO/TKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3971,1995,Dave Beneteau,1,no,KO/TKO,13,8,28,22,1,1,0,2,0,13,8,0,0,0,0,0,0,0,0,13,8,W
3972,1995,Joe Charles,1,no,Submission,1,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,L
3972,1995,Dan Severn,1,no,Submission,4,2,19,12,1,1,1,2,0,4,2,0,0,0,0,0,0,0,0,4,2,W
3973,1995,Ernie Verdicia,1,no,Submission,5,2,11,7,0,0,0,0,0,5,2,0,0,0,0,2,0,0,0,3,2,L
3973,1995,Oleg Taktarov,1,no,Submission,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,W
3974,1995,Larry Cureton,1,no,Submission,2,1,16,15,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,L
3974,1995,Todd Medina,1,no,Submission,4,4,66,64,1,1,1,1,0,3,3,1,1,0,0,0,0,0,0,4,4,W
3975,1995,Andy Anderson,1,no,KO/TKO,2,2,6,6,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,2,2,L
3975,1995,Jon Hess,1,no,KO/TKO,28,17,41,30,0,0,0,0,0,17,7,11,10,0,0,14,6,9,6,5,5,W
3977,1995,Asbel Cancio,1,no,KO/TKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3977,1995,Dave Beneteau,1,no,KO/TKO,18,12,18,12,1,1,0,2,0,18,12,0,0,0,0,0,0,0,0,18,12,W
3957,1995,David Abbott,1,yes,Submission,45,17,71,39,3,2,1,1,0,44,16,1,1,0,0,27,8,7,3,11,6,L
3957,1995,Oleg Taktarov,1,yes,Submission,10,4,59,48,3,0,4,1,0,10,4,0,0,0,0,9,3,1,1,0,0,W
3958,1995,Dan Severn,1,no,Submission,2,2,2,2,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,L
3958,1995,Ken Shamrock,1,no,Submission,5,2,5,2,1,0,2,0,0,4,1,1,1,0,0,4,1,1,1,0,0,W
3959,1995,Anthony Macias,1,no,Submission,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3959,1995,Oleg Taktarov,1,no,Submission,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,W
3960,1995,Paul Varelans,1,no,KO/TKO,2,1,14,12,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,L
3960,1995,David Abbott,1,no,KO/TKO,21,14,25,18,1,1,0,1,0,20,13,1,1,0,0,1,1,0,0,20,13,W
3961,1995,Dave Beneteau,1,no,Submission,14,5,14,5,1,1,0,0,0,14,5,0,0,0,0,0,0,11,4,3,1,L
3961,1995,Oleg Taktarov,1,no,Submission,2,0,7,5,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,W
3962,1995,Rudyard Moncayo,1,no,Submission,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3962,1995,Patrick Smith,1,no,Submission,8,6,13,10,2,2,1,1,0,4,2,4,4,0,0,1,1,3,3,4,2,W
3963,1995,Cal Worsham,1,no,KO/TKO,33,9,35,11,1,0,0,0,0,30,9,3,0,0,0,13,5,20,4,0,0,L
3963,1995,Paul Varelans,1,no,KO/TKO,22,8,27,12,0,0,0,0,0,19,7,2,1,1,0,12,3,10,5,0,0,W
3964,1995,John Matua,1,no,KO/TKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3964,1995,David Abbott,1,no,KO/TKO,12,7,12,7,0,0,0,0,0,12,7,0,0,0,0,1,0,6,6,5,1,W
3945,1995,Paul Varelans,1,yes,KO/TKO,30,10,63,36,0,0,1,0,0,19,3,2,2,9,5,27,7,3,3,0,0,L
3945,1995,Marco Ruas,1,yes,KO/TKO,59,33,84,54,0,0,0,1,0,25,9,0,0,34,24,49,27,3,2,7,4,W
3947,1995,Ken Shamrock,2,no,Other,58,29,222,180,1,1,1,1,0,53,26,4,2,1,1,29,8,6,4,23,17,D
3947,1995,Oleg Taktarov,2,no,Other,22,4,128,110,2,0,0,0,0,17,3,1,0,4,1,18,3,4,1,0,0,D
3948,1995,Remco Pardoel,1,no,Submission,4,2,7,4,1,1,2,0,0,1,0,0,0,3,2,2,0,2,2,0,0,L
3948,1995,Marco Ruas,1,no,Submission,7,4,18,11,0,0,2,2,1,2,1,2,2,3,1,3,1,0,0,4,3,W
3949,1995,Mark Hall,1,no,Submission,3,2,5,4,0,0,0,0,0,1,1,1,0,1,1,2,2,1,0,0,0,L
