nom, taille, reach, age, NbMatch, NbTitleMatch, NbRound, PourcentageWin, NbWinStreak, PourcentageWinTKO, PourcentageWinDecision, PourcentageWinSubmission, PourcentageLoss, NbLossStreak, PourcentageLossTKO, PourcentageLossDecision, PourcentageLossSubmission, PourcentageHead, PourcentageHeadDef, PourcentageBody, PourcentageBodyDef, PourcentageLeg, PourcentageLegDef, PourcentageSigStrike, PourcentageSigStrikeDef, PourcentageStrike, PourcentageStrikeDef, PourcentageTakedown, PourcentageTakedownDef, PourcentageClinch, PourcentageClinchDef, PourcentageDistance, PourcentageDistanceDef, PourcentageGround, PourcentageGroundDef, NbSubAttempts, NbSubDef, NbPass, NbReversals, NbSigStrike, NbStrike, NbHead, NbBody, NbLeg, NbTakedown, NbClinch, NbDistance, NbGround, NbSigStrikeDef, NbStrikeDef, NbHeadDef, NbBodyDef, NbLegDef, NbTakedownDef, NbClinchDef, NbDistanceDef, NbGroundDef, NbMatchAgainstAdv, NbWinAgainstAdv, NbLossAgainstAdv, nom2, taille2, reach2, age2, NbMatch2, NbTitleMatch2, NbRound2, PourcentageWin2, NbWinStreak2, PourcentageWinTKO2, PourcentageWinDecision2, PourcentageWinSubmission2, PourcentageLoss2, NbLossStreak2, PourcentageLossTKO2, PourcentageLossDecision2, PourcentageLossSubmission2, PourcentageHead2, PourcentageHeadDef2, PourcentageBody2, PourcentageBodyDef2, PourcentageLeg2, PourcentageLegDef2, PourcentageSigStrike2, PourcentageSigStrikeDef2, PourcentageStrike2, PourcentageStrikeDef2, PourcentageTakedown2, PourcentageTakedownDef2, PourcentageClinch2, PourcentageClinchDef2, PourcentageDistance2, PourcentageDistanceDef2, PourcentageGround2, PourcentageGroundDef2, NbSubAttempts2, NbSubDef2, NbPass2, NbReversals2, NbSigStrike2, NbStrike2, NbHead2, NbBody2, NbLeg2, NbTakedown2, NbClinch2, NbDistance2, NbGround2, NbSigStrikeDef2, NbStrikeDef2, NbHeadDef2, NbBodyDef2, NbLegDef2, NbTakedownDef2, NbClinchDef2, NbDistanceDef2, NbGroundDef2, NbMatchAgainstAdv2, NbWinAgainstAdv2, NbLossAgainstAdv2, res
Matthew Riddle,185,74.0,24,6,0,17,0.8333333333333334,2,0.2,0.6,0.0,0.16666666666666666,0,1.0,0.0,0.0,0.4392857142857143,0.6206896551724138,0.85,0.38888888888888884,0.8767123287671232,0.2702702702702703,0.6004415011037527,0.5340136054421769,0.7740112994350282,0.34460887949260044,0.5238095238095238,0.9285714285714286,0.7548387096774194,0.41463414634146345,0.27884615384615385,0.6301369863013699,0.6494845360824743,0.4696969696969697,4,2,27,1,453,1062,280,100,73,42,155,104,194,294,473,203,54,37,14,82,146,66,0,0,0,Sean Pierson,182,76.0,34,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.6004415011037527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301369863013699,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
TJ Grant,177,72.0,26,5,0,13,0.6,1,0.3333333333333333,0.6666666666666666,0.0,0.4,0,0.0,1.0,0.0,0.4292682926829268,0.5840000000000001,0.7794117647058824,0.33333333333333337,0.8709677419354839,0.11538461538461542,0.5526315789473685,0.5272108843537415,0.6412037037037037,0.37387387387387383,0.47368421052631576,0.06666666666666665,0.6956521739130435,0.42105263157894735,0.4519774011299435,0.6040268456375839,0.6857142857142857,0.4579439252336449,1,2,21,3,304,432,205,68,31,19,92,177,35,294,444,250,18,26,15,38,149,107,0,0,0,Ricardo Almeida,182,74.0,34,9,0,19,0.5555555555555556,0,0.0,0.4,0.6,0.4444444444444444,1,0.25,0.25,0.25,0.42323651452282157,0.7523364485981309,0.7794117647058824,0.1428571428571429,0.9,0.17142857142857137,0.5526315789473685,0.6056338028169015,0.6238317757009346,0.33099824868651484,0.43103448275862066,0.2222222222222222,0.6511627906976745,0.32307692307692304,0.41899441340782123,0.6040268456375839,0.6436781609195402,0.4893617021276596,11,8,13,0,309,428,241,48,20,58,43,179,87,284,571,214,35,35,9,65,172,47,0,0,0,B
John Makdessi,172,68.0,25,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pat Audinwood,182,74.0,24,1,0,1,0.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.16666666666666666,0.4444444444444444,1.0,0.0,0.0,0.0,0.375,0.36363636363636365,0.46153846153846156,0.2063492063492064,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.25,0,1,0,0,8,13,6,2,0,0,0,8,0,11,63,9,2,0,2,0,3,8,0,0,0,A
Gray Maynard,175,70.0,32,9,0,24,0.8888888888888888,8,0.125,0.875,0.0,0.0,0,0.0,0.0,0.0,0.2932330827067669,0.8022328548644339,0.7741935483870968,0.53125,0.4,0.17543859649122806,0.34390651085141904,0.731283422459893,0.49817739975698666,0.5826612903225806,0.75,0.8421052631578947,0.5416666666666666,0.5087719298245614,0.27522935779816515,0.7529411764705882,0.5217391304347826,0.5454545454545454,7,2,29,3,599,823,532,62,5,36,48,436,115,748,992,627,64,57,19,57,680,11,1,1,0,Frankie Edgar,167,68.0,30,9,2,28,0.8888888888888888,5,0.125,0.75,0.125,0.1111111111111111,0,0.0,1.0,0.0,0.36616702355460384,0.7983490566037736,0.6940298507462687,0.3728813559322034,0.6,0.16666666666666663,0.4191564147627416,0.7551020408163265,0.532103825136612,0.6789772727272727,0.4266666666666667,0.5,0.6701030927835051,0.5166666666666666,0.3238566131025958,0.7529411764705882,0.646551724137931,0.25,2,5,21,2,1138,1464,934,134,70,75,97,809,232,931,1056,848,59,24,36,60,863,8,1,0,1,D
Brian Stann,185,74.0,31,5,0,13,0.6,1,0.0,0.6666666666666666,0.3333333333333333,0.4,0,0.0,0.5,0.5,0.22592592592592592,0.773109243697479,0.723404255319149,0.2666666666666667,0.9111111111111111,0.5,0.3756906077348066,0.6624203821656052,0.5527831094049904,0.5148741418764302,0.0,0.4516129032258065,0.631578947368421,0.47619047619047616,0.24705882352941178,0.7772727272727273,0.74,0.36986301369863017,2,7,1,0,362,521,270,47,45,6,57,255,50,314,437,238,60,16,31,21,220,73,0,0,0,Chris Leben,180,74.0,31,16,0,35,0.6875,3,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.3125,0,0.2,0.4,0.4,0.36159600997506236,0.604361370716511,0.6015625,0.2924528301886793,0.6857142857142857,0.196078431372549,0.4327102803738318,0.5369211514392991,0.6849507735583685,0.4281636536631779,0.5769230769230769,0.5434782608695652,0.5305343511450382,0.42708333333333337,0.3253588516746411,0.7772727272727273,0.6629834254143646,0.42666666666666664,8,6,22,0,1070,2133,802,128,140,26,262,627,181,799,1051,642,106,51,46,192,532,75,0,0,0,A
Thiago Silva,187,74.0,29,7,0,10,0.7142857142857143,0,1.0,0.0,0.0,0.2857142857142857,1,0.5,0.5,0.0,0.40703517587939697,0.7446808510638299,0.7291666666666666,0.21739130434782605,0.631578947368421,0.125,0.48120300751879697,0.6642335766423357,0.5852941176470589,0.6,0.2222222222222222,0.45833333333333337,0.5633802816901409,0.4375,0.3741496598639456,0.7611940298507462,0.6875,0.31999999999999995,2,1,5,0,266,340,199,48,19,9,71,147,48,274,310,235,23,16,24,48,201,25,0,0,0,Brandon Vera,190,76.0,34,12,0,24,0.5833333333333334,0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.4166666666666667,2,0.4,0.6,0.0,0.35149863760217986,0.6970338983050848,0.7685185185185185,0.23287671232876717,0.8851351351351351,0.1826923076923077,0.550561797752809,0.5624036979969184,0.5991678224687933,0.4272829763246899,0.6,0.6857142857142857,0.7724550898203593,0.3287037037037037,0.4344660194174757,0.7611940298507462,0.7954545454545454,0.4516129032258065,1,0,5,0,623,721,367,108,148,10,167,412,44,649,887,472,73,104,35,216,371,62,0,0,0,NC
Nate Diaz,182,76.0,26,11,1,24,0.7272727272727273,2,0.125,0.125,0.75,0.2727272727272727,0,0.0,1.0,0.0,0.282021151586369,0.7388193202146691,0.575,0.3508771929824561,0.8448275862068966,0.06578947368421051,0.33872598584428715,0.6329479768786127,0.48955223880597015,0.5412621359223301,0.34210526315789475,0.4565217391304348,0.6666666666666666,0.43103448275862066,0.27557160048134777,0.7406593406593407,0.6779661016949152,0.42148760330578516,14,9,11,3,989,1340,851,80,58,38,99,831,59,692,824,559,57,76,46,116,455,121,0,0,0,Dong Hyun Kim,180,70.0,23,5,0,15,0.8,2,0.25,0.75,0.0,0.0,0,0.0,0.0,0.0,0.6211453744493393,0.7,0.575,0.25,0.9411764705882353,0.3055555555555556,0.33872598584428715,0.5225225225225225,0.78,0.36390532544378695,0.5,0.84,0.98,0.265625,0.2608695652173913,0.7406593406593407,0.7407407407407407,0.33333333333333337,4,3,25,1,254,450,227,10,17,36,50,69,135,222,338,130,56,36,25,64,137,21,0,0,0,B
Clay Guida,170,70.0,30,12,0,31,0.5833333333333334,2,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.4166666666666667,0,0.0,0.6,0.4,0.2689987937273824,0.6803797468354431,0.6746987951807228,0.25,0.8947368421052632,0.2962962962962963,0.3614697120158888,0.646944713870029,0.5328418230563002,0.552191235059761,0.40425531914893614,0.76,0.6627906976744186,0.3076923076923077,0.24780058651026393,0.7032474804031354,0.5774058577405857,0.25,7,14,31,0,1007,1492,829,83,95,94,86,682,239,1031,1255,948,56,27,25,78,893,60,0,0,0,Takanori Gomi,170,70.0,33,2,0,4,0.5,1,1.0,0.0,0.0,0.5,0,0.0,0.0,1.0,0.14583333333333334,0.772972972972973,0.3548387096774194,0.1428571428571429,0.0,0.25,0.19083969465648856,0.73,0.19083969465648856,0.65625,0.0,0.5,0.0,0.4,0.1796875,0.7032474804031354,1.0,0.33333333333333337,0,1,0,0,131,131,96,31,4,1,1,128,2,200,224,185,7,8,2,5,186,9,0,0,0,A
Marcus Davis,177,70.0,38,14,0,28,0.6428571428571429,0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.35714285714285715,1,0.4,0.4,0.2,0.33181818181818185,0.7565217391304347,0.6736842105263158,0.33673469387755106,0.8615384615384616,0.16666666666666663,0.41341463414634144,0.6586586586586587,0.5662337662337662,0.55701394585726,0.48,0.368421052631579,0.7204301075268817,0.4609375,0.34194528875379937,0.7097203728362184,0.6811594202898551,0.55,12,4,15,0,820,1155,660,95,65,25,93,658,69,999,1219,805,98,96,19,128,751,120,0,0,0,Jeremy Stephens,172,71.0,25,10,0,25,0.5,0,0.6,0.4,0.0,0.5,1,0.0,0.6,0.4,0.38104448742746616,0.7047619047619047,0.6736842105263158,0.21126760563380287,0.6785714285714286,0.1071428571428571,0.41341463414634144,0.5996932515337423,0.5725534308211474,0.4486373165618449,0.6,0.5806451612903225,0.8297872340425532,0.3902439024390244,0.38,0.7097203728362184,0.5706521739130435,0.42500000000000004,3,17,2,6,681,889,517,80,84,15,47,450,184,652,954,525,71,56,31,41,531,80,0,0,0,B
Dustin Poirier,175,72.0,22,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Grispi,180,74.0,23,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
