name,height,reach,age
Ronda Rousey,170,68,29
Chris Heatherly,175,68,29
Rocky Lee,175,68,29
Willamy Freire,172,68.5,29
Brendan O'Reilly,170,69,29
Matthew Lopez,170,69,29
Bruno Santos,175,69,29
Renan Barao,167,70,29
Kyle Bochniak,170,70,29
Willie Gates,172,70,29
Al Iaquinta,175,70,29
Tiago Trator,175,70,29
Marcin Wrzosek,175,70,29
Chris Wade,177,70,29
Darrell Horcher,177,70,29
Matt Hobar,177,70,29
Gadzhimurad Antigulov,180,70,29
Steven Siler,180,70,29
Renee Forte,170,71,29
Rob Font,172,71,29
Jimy Hettes,175,71,29
Piotr Hallmann,175,71,29
Cody Gibson,177,71,29
Thiago Perpetuo,177,71,29
Chris Holdsworth,180,71,29
Cameron Dollar,180,71,29
Colton Smith,182,71,29
Shane Campbell,182,71,29
Wagner Silva,182,71,29
Alex Garcia,175,72,29
Anthony Christodoulou,175,72,29
Kyung Ho Kang,175,72,29
Anthony Pettis,177,72,29
Chris Dempsey,177,72,29
Jordan Rinaldi,177,72,29
Thibault Gouti,177,72,29
Aaron Wilkinson,177,72,29
Anton Zafir,180,72,29
Cody McKenzie,182,72,29
Pascal Krauss,185,72,29
Teemu Packalen,185,72,29
Godofredo Pepey,170,73,29
Chris Indich,177,73,29
Lewis Gonzalez,177,73,29
Hector Urbina,180,73,29
Kazuki Tokudome,180,73,29
Mickael Lebout,180,73,29
Omari Akhmedov,182,73,29
Caio Magalhaes,185,73,29
Hans Stringer,190,73,29
Chan Sung Jung,170,74,29
Dustin Pague,175,74,29
Brad Tavares,185,74,29
Danny Roberts,185,74,29
Sean Spencer,177,75,29
Yancy Medeiros,177,75,29
Peter Sobotta,182,75,29
Cathal Pendred,185,75,29
John Hathaway,185,75,29
Michael Chiesa,185,75,29
Jonathan Wilson,187,75,29
Justin Wren,187,75,29
Jonathan Meunier,190,75,29
Kamaru Usman,182,76,29
Chris Spang,187,76,29
Adam Milstead,190,76,29
James Vick,190,76,29
TJ O'Brien,187,77,29
Antonio Braga Neto,190,77,29
Misha Cirkunov,190,77,29
Justin Jones,180,78,29
Oluwale Bamgbose,180,78,29
Alexander Gustafsson,195,79,29
Neil Magny,190,80,29
Jon Jones,193,84,29
Rin Nakai,154,60,30
Michelle Waterson,160,62,30
Hector Sandoval,157,64,30
Ian Entwistle,165,64,30
Pedro Munhoz,167,64,30
Alptekin Ozkilic,165,65,30
Elizabeth Phillips,167,65,30
Miesha Tate,167,65,30
Tateki Matsuda,170,65,30
Timothy Elliott,170,65,30
Artem Lobov,175,65,30
Demetrious Johnson,160,66,30
Pedro Nobre,165,66,30
Dennis Bermudez,167,66,30
Jessica Eye,167,66,30
Joseph Sandoval,170,66,30
TJ Dillashaw,167,67,30
Jumabieke Tuerxun,170,67,30
Royston Wee,170,67,30
Sam Sicilia,172,67,30
John Teixeira,170,68,30
John Albert,172,68,30
Mark Eddiva,172,68,30
Anthony Birchak,172,69,30
Chris Gruetzemacher,172,69,30
Marco Beltran,172,69,30
Chris Saunders,172,69,30
Charles Rosa,175,69,30
Junior Hernandez,175,69,30
Dustin Neace,175,69,30
Jose Aldo,170,70,30
Russell Doane,170,70,30
Nazareno Malegarie,172,70,30
Damir Hadzovic,175,70,30
Efrain Escudero,175,70,30
Will Campuzano,175,70,30
Masio Fullen,177,70,30
Paul Redmond,177,70,30
Tarec Saffiedine,177,70,30
Andrew Holbrook,180,70,30
Kurt Holobaugh,180,70,30
Norman Parke,180,70,30
Jeremy Stephens,172,71,30
Robert Peralta,172,71,30
Gregor Gillespie,175,71,30
Jim Alers,175,71,30
Bobby Green,177,71,30
Chad Laprise,177,71,30
Gilbert Burns,177,71,30
Mike Stumpf,177,71,30
Jake Lindsey,180,71,30
Mike de la Torre,180,71,30
Cale Yarbrough,185,71,30
Tommy Hayden,175,72,30
Will Brooks,177,72,30
Lorenz Larkin,180,72,30
Danny Downes,182,72,30
Elvis Mutapcic,182,72,30
Jimmy Quinlan,182,72,30
Sai Wang,182,72,30
Rustam Khabilov,172,73,30
Jason Young,175,73,30
Joey Gomez,177,73,30
Michael Johnson,177,73,30
Elias Silverio,180,73,30
Elizeu Zaleski dos Santos,180,73,30
Greg Soto,180,73,30
Jessamyn Duke,180,73,30
Joao Zeferino,180,73,30
Zak Ottow,180,73,30
Ryan McGillivray,180,73,30
Santiago Ponzinibbio,182,73,30
CJ Keith,182,73,30
Eric Spicely,185,73,30
Terry Etim,185,73,30
James Krause,187,73,30
Justin Martin,182,74,30
Cain Carrizosa,172,74,30
Enrique Marin,177,74,30
Roger Zapata,180,74,30
Guilherme Vasconcelos,182,74,30
Wagner Prado,182,74,30
Pat Audinwood,182,74,30
Matthew Riddle,185,74,30
Danny Mitchell,187,74,30
Edson Barboza,180,75,30
Bartosz Fabinski,182,75,30
Nico Musoke,182,75,30
Jon Manley,185,75,30
Michael McBride,185,75,30
Jared Rosholt,187,75,30
Sam Alvey,187,75,30
Steve Cantwell,187,75,30
Andrew Craig,185,76,30
Dustin Hazelett,185,76,30
Adlan Amagov,187,76,30
Chris Camozzi,187,76,30
Matt Van Buren,195,76,30
Mike Ricci,182,77,30
Clint Hester,187,77,30
Guto Inocente,190,77,30
Ruslan Magomedov,190,78,30
Tamdan McCrory,193,78,30
Christian Morecraft,198,81,30
Philip De Fries,195,82,30
Francis Ngannou,193,83,30
Randa Markos,162,63,31
Jocelyn Jones-Lybarger,170,63,31
Angela Hill,160,64,31
Nina Ansaroff,165,64,31
Karolina Kowalkiewicz,160,65,31
Ali Bagautinov,162,65,31
Wilson Reis,162,65,31
Joanne Calderwood,167,65,31
Shunichi Shimizu,165,66,31
Chad Mendes,167,66,31
Chico Camus,167,66,31
Jussier Formiga,165,67,31
Sarah Kaufman,165,67,31
Danny Martinez,167,67,31
Luke Sanders,167,67,31
Kelly Faszholz,172,67,31
Douglas Silva de Andrade,170,68,31
Cris Cyborg,172,68,31
Dominick Cruz,172,68,31
John Makdessi,172,68,31
Manuel Rodriguez,175,68,31
Chris Beal,170,69,31
Daniel Pineda,170,69,31
Davey Grant,172,69,31
Yosdenis Cedeno,172,69,31
Josh Emmett,167,70,31
Shinsho Anzai,170,70,31
Jesse Ronson,177,70,31
Tony Sims,180,70,31
Albert Cheng,180,70,31
Marcus Brimage,162,71,31
Jake Ellenberger,175,71,31
Ryan Hall,177,71,31
Takenori Sato,177,71,31
Besam Yousef,180,71,31
Jason Saggo,180,71,31
Daron Cruickshank,172,72,31
Felipe Olivieri,175,72,31
Joe Ellenberger,175,72,31
Leandro Silva,175,72,31
Joe Proctor,177,72,31
Chas Skelly,180,72,31
Martin Svensson,185,72,31
Abdul Razak Alhassan,177,73,31
Mitch Clarke,177,73,31
Brock Jardine,180,73,31
Bubba Bush,182,73,31
Erick Montano,182,73,31
Jonathan Brookins,182,73,31
Keith Berish,182,73,31
Valmir Lazaro,182,73,31
Diego Ferreira,175,74,31
Cyril Asker,182,74,31
Hernani Perpetuo,182,74,31
Lyman Good,182,74,31
Mark Holst,182,74,31
John Salter,185,74,31
Brandon Thatch,187,74,31
Mike Jackson,187,74,31
Karlos Vemola,182,75,31
Marcos Rogerio de Lima,185,75,31
Mehdi Baghdad,185,75,31
Dan Cramer,187,75,31
Logan Clark,187,75,31
Max Griffin,180,76,31
Nate Diaz,182,76,31
Gegard Mousasi,187,76,31
Chuck O'Neil,187,76,31
Gian Villante,190,76,31
Hyun Gyu Lim,190,77,31
Tim Johnson,190,77,31
Cezar Ferreira,185,78,31
Adam Cella,187,78,31
Marcin Tybura,190,78,31
Derrick Lewis,190,79,31
Todd Duffee,190,79,31
Darrill Schoonover,187,82,31
Louis Gaudinot,160,63,32
Issei Tamura,165,63,32
Joshua Sampo,162,64,32
Ian McCall,165,64,32
Anna Elmose,160,65,32
Felice Herrig,162,65,32
Joseph Benavidez,162,65,32
Dileno Lopes,165,65,32
Mitch Gagnon,165,65,32
John Dodson,160,66,32
John Moraga,167,66,32
Liz Carmouche,167,66,32
Nick Hein,167,66,32
Rani Yahya,167,67,32
Alexis Davis,167,68,32
Tyson Griffin,167,68,32
Thiago Tavares,170,68,32
Bryan Caraway,172,68,32
Nik Lentz,172,68,32
Damien Brown,177,68,32
Eddie Wineland,170,69,32
Edwin Figueroa,170,69,32
Hacran Dias,172,69,32
Ross Pearson,172,69,32
Eddie Alvarez,175,69,32
Noad Lahat,175,69,32
Walel Watson,180,69,32
Mike Easton,167,70,32
Rony Jason,170,70,32
Rafael Dos Anjos,172,70,32
Paul Kelly,175,70,32
Rashid Magomedov,175,70,32
Sam Stout,175,70,32
Shane Nelson,175,70,32
Edward Faaloloto,175,70,32
Jeremy Larsen,177,70,32
Paul Felder,180,70,32
Frank Lester,180,70,32
Alex Soto,172,71,32
Eric Wisely,172,71,32
Brian Foster,175,71,32
Germaine de Randamie,175,71,32
Rick Story,175,71,32
Darren Elkins,177,71,32
Dongi Yang,177,71,32
Edgar Garcia,177,71,32
Humberto Brown,177,71,32
Joe Lauzon,177,71,32
Tommy Speer,177,71,32
Polo Reyes,180,71,32
Sako Chivitchian,180,71,32
Sheldon Westcott,185,71,32
Anton Kuivanen,172,72,32
Jamie Varner,172,72,32
Phillipe Nover,175,72,32
Junie Browning,175,72,32
TJ Grant,177,72,32
Yoislandy Izquierdo,180,72,32
Richardson Moreira,187,72,32
John Cofer,175,73,32
Jimmy Wallhead,177,73,32
Jon Tuck,180,73,32
Keita Nakamura,180,73,32
Ricardo Abreu,180,73,32
Joe Merritt,182,73,32
Augusto Montano,185,73,32
James Head,185,73,32
Alan Belcher,187,73,32
Steve Lopez,180,73.5,32
Kenny Robertson,177,74,32
Jorge Masvidal,180,74,32
Nicolas Dalby,180,74,32
Sultan Aliev,180,74,32
Erick Silva,182,74,32
Kevin Souza,182,74,32
Cole Miller,185,74,32
Josh Stansbury,187,74,32
Alexander Yakovlev,190,74,32
Court McGee,180,75,32
Kajan Johnson,180,75,32
Viscardi Andrade,180,75,32
Shawn Jordan,182,75,32
Zak Cummings,182,75,32
Daniel Jolly,185,75,32
Carlos Condit,187,75,32
Jesse Forbes,187,75,32
Tim Means,187,75,32
Ryan Thomas,182,75.5,32
Caros Fodor,175,76,32
Eddie Mendez,177,76,32
Siyar Bahadurzada,180,76,32
Tony Ferguson,180,76,32
Jake Hecht,182,76,32
Thiago Santos,182,76,32
Nick Osipczak,187,76,32
Jake O'Brien,190,76,32
Quinn Mulhern,190,76,32
Daniel Spohn,193,76,32
Dave Herman,193,76,32
Jared Cannonier,180,77,32
Felipe Silva,182,77,32
Derek Brunson,185,77,32
Alberto Uda,190,77,32
Luke Rockhold,190,77,32
Junior Dos Santos,193,77,32
Rameau Thierry Sokoudjou,177,78,32
Anthony Johnson,187,78,32
Chris Weidman,187,78,32
Uriah Hall,182,79,32
Simeon Thoresen,185,79,32
Phil Davis,187,79,32
Vinny Magalhaes,190,79,32
Shane Primm,190,79,32
Ednaldo Oliveira,195,79,32
Goran Reljic,190,81,32
Phil Harris,162,64,33
Zach Makovsky,162,64,33
Bethe Correia,165,64,33
Angela Magana,154,65,33
Augusto Mendes,167,65,33
Ulysses Gomez,167,66,33
Jessica Penne,165,67,33
Lauren Murphy,170,67,33
Tim Gorman,165,68,33
Henry Martinez,170,68,33
Takeya Mizugaki,170,68,33
Valerie Letourneau,170,68,33
Melvin Guillard,175,68,33
Matt Wiman,177,68,33
Richie Vaculik,167,69,33
Leandro Issa,170,69,33
Reuben Duran,170,69,33
Byron Bloodworth,172,69,33
Shane Howell,172,69,33
John Maguire,175,69,33
Johny Hendricks,175,69,33
Rob Whiteford,175,69,33
Scott Holtzman,175,69,33
Nam Phan,167,70,33
Nick Denis,170,70,33
Abel Trujillo,172,70,33
Cub Swanson,172,70,33
Ernest Chavez,172,70,33
Tyler Toner,172,70,33
Ian Loveland,172,70,33
Joe Brammer,172,70,33
Bart Palaszewski,175,70,33
Benson Henderson,175,70,33
Roger Huerta,175,70,33
Thiago Alves,175,70,33
Justin Edwards,177,70,33
Hatsu Hioki,180,70,33
John Howard,170,71,33
Jim Miller,172,71,33
Maximo Blanco,172,71,33
Roland Delorme,175,71,33
Tae Hyun Bang,175,71,33
Akbarh Arreola,177,71,33
Gleison Tibau,177,71,33
Johnny Bedford,177,71,33
Steve Kennedy,180,71,33
Chris Liguori,175,71.9,33
Nate Mohr,175,72,33
Paul Bradley,175,72,33
Wendell Oliveira,177,72,33
John Cholish,180,72,33
Josh Neer,180,72,33
Danny Abbadi,180,72,33
Chris Cope,182,72,33
Ilir Latifi,177,73,33
Konstantin Erokhin,180,73,33
Yan Cabral,180,73,33
Justin Buchholz,182,73,33
Marcelo Guimaraes,182,73,33
Donald Cerrone,185,73,33
Pablo Garza,185,73,33
Jamie Yager,185,73,33
Jesse Taylor,185,73,33
Joe Vedepo,182,74,33
Leo Kuntz,177,74,33
Alan Patrick,180,74,33
Brandon Melendez,180,74,33
Pat Healy,182,74,33
Tom Lawlor,182,74,33
Mats Nilsson,185,74,33
Ryan LaFlare,185,74,33
Sean O'Connell,185,74,33
Rob Broughton,187,74,33
Ryan Bader,187,74,33
Jarjis Danho,190,74,33
Stephen Thompson,182,75,33
Ron Stallings,187,75,33
Bubba McDaniel,190,75,33
Mike King,190,75,33
James Hammortree,190,75.5,33
Paul Daley,175,76,33
Eddie Gordon,182,76,33
Nick Diaz,185,76,33
CB Dollaway,187,76,33
Tim Hague,193,76,33
Danillo Villefort,185,77,33
Ben Saunders,187,77,33
Tor Troeng,187,77,33
Mark Godbeer,193,77,33
Walt Harris,195,77,33
Colin Fletcher,187,78,33
Jan Blachowicz,187,78,33
Aaron Rosa,193,78,33
Brendan Schaub,193,78,33
Chase Gormley,190,79,33
Roger Narvaez,190,79,33
Shane del Rosario,193,79,33
Ovince Saint Preux,190,80,33
Vinicius Queiroz,200,80.5,33
Lisa Ellis,162,62,34
Jessica Aguilar,160,63,34
Ivan Menjivar,167,64,34
Juliana Lima,165,65,34
Jose Maria,165,65,34
Lina Lansberg,170,65,34
Reginaldo Vieira,170,65,34
Raphael Assuncao,165,66,34
Scott Jorgensen,165,66,34
Damacio Page,167,66,34
Vaughan Lee,167,66,34
Diego Saraiva,167,66,34
Leslie Smith,175,66,34
Diego Nunes,167,67,34
Hugo Viana,167,67,34
Roxanne Modafferi,167,67,34
Masanori Kanehara,170,67,34
Bentley Syler,162,68,34
Cat Zingano,167,68,34
Akira Corassani,172,68,34
Mark Hominick,172,68,34
Alvin Robinson,175,68,34
Roger Bowling,175,68,34
Tom Niinimaki,175,69,34
Alessandro Ricci,180,69,34
Fernando Bruno,167,70,34
Joe Stevenson,170,70,34
Justin Salas,172,70,34
Marcus LeVesseur,175,70,34
Chris Tickle,175,70,34
Hayder Hassan,177,70,34
Joe Riggs,182,70,34
Ken Stone,172,71,34
Rafaello Oliveira,172,71,34
Ricardo Lamas,172,71,34
Kyle Bradley,175,71,34
Jeremy Jackson,177,71,34
Abner Lloveras,180,71,34
Claudio Silva,180,71,34
Gasan Umalatov,180,71,34
Luiz Dutra,180,71,34
Rory Markham,182,71,34
Bristol Marunde,185,71,34
Brian Melancon,172,72,34
Jesse Lennox,175,72,34
Adriano Martins,177,72,34
Estevan Payan,177,72,34
Karo Parisyan,177,72,34
KJ Noons,177,72,34
Matt Arroyo,177,72,34
Vinc Pichel,177,72,34
Martin Kampmann,182,72,34
Sergio Moraes,182,72,34
Garreth McLellan,185,72,34
Edwin DeWees,185,72,34
Razak Al-Hassan,187,72,34
Daniel Sarafian,175,73,34
Gilbert Melendez,175,73,34
Stephen Bass,175,73,34
Vagner Rocha,177,73,34
Leonardo Augusto Leleco,182,73,34
Tom Watson,185,73,34
Mike Massenzio,187,73,34
Victor Valimaki,182,74,34
Tyron Woodley,175,74,34
Robbie Lawler,180,74,34
Dan Hardy,182,74,34
Daniel Omielanczuk,182,74,34
Tim McKenzie,182,74,34
Edilberto de Oliveira,182,74,34
Johnny Rees,182,74,34
Dmitrii Smoliakov,187,74,34
Eddie Sanchez,187,74,34
Thiago Silva,187,74,34
Paul Georgieff,187,74,34
Shamar Bailey,175,75,34
Ryan Couture,177,75,34
Pete Sell,180,75,34
Tom DeBlass,182,75,34
DaMarques Johnson,185,75,34
Josh Copeland,185,75,34
Xavier Foupa-Pokam,185,75,34
Jared Hamman,190,75,34
Rafael Natal,182,76,34
Che Mills,185,76,34
Tomasz Drwal,185,76,34
Jake Rosholt,185,76,34
Buddy Roberts,187,76,34
Chris Price,187,76,34
Kyle Kingsbury,193,76,34
Alberto Mina,182,77,34
Cain Velasquez,185,77,34
Ildemar Alcantara,187,78,34
Magnus Cedenblad,195,79,34
Kendall Grove,198,79,34
Travis Browne,198,79,34
Dmitri Stepanov,190,80,34
Stipe Miocic,193,80,34
Chris Cariaso,160,63,35
Ning Guangyou,162,64,35
Julie Kedzie,165,64,35
Bernardo Magalhaes,175,65,35
Emily Peters Kagan,160,66,35
Wagner Campos,167,66,35
Katsunori Kikuno,172,66,35
Naoyuki Kotani,172,66,35
Manvel Gamburyan,165,67,35
Michel Prazeres,167,67,35
Mizuto Hirota,170,67,35
Frankie Edgar,167,68,35
Josh Clopton,167,68,35
Chris Kelades,170,68,35
Francisco Rivera,172,68,35
Holly Holm,172,69,35
Yui Chul Nam,175,69,35
Jason Tan,177,69,35
Maiquel Falcao,180,69,35
Matt Veach,180,69,35
Clay Guida,170,70,35
Luigi Fioravanti,172,70,35
Matt Grice,172,70,35
Francisco Trevino,175,70,35
Rob Emerson,175,70,35
Carlos Eduardo Rocha,177,70,35
Evan Dunham,177,70,35
Jason High,172,71,35
Kiichi Kunimoto,177,71,35
Mike Rio,177,71,35
Shannon Gugerty,177,71,35
Stanislav Nedkov,180,71,35
Chad Reiner,180,71,35
Cole Escovedo,170,72,35
Luis Ramos,172,72,35
Junior Assuncao,175,72,35
Rodney Wallace,175,72,35
Charlie Brenneman,177,72,35
Diego Sanchez,177,72,35
John Polakowski,177,72,35
Steve Bruno,177,72,35
Carlo Prater,180,72,35
Steve Bosse,180,72,35
Jon Koppenhaver,180,72,35
Alessio Sakara,182,72,35
Jason Day,182,72,35
Nick Catone,182,72,35
George Roop,185,72,35
Yushin Okami,187,72,35
Patrick Williams,172,73,35
Rob Kimmons,177,73,35
Andre Winner,180,73,35
Paulo Thiago,180,73,35
Alan Jouban,182,73,35
Carmelo Marrero,182,73,35
George Sullivan,182,73,35
Riki Fukuda,182,73,35
